 (6.391203308105468750e+01+0.000000000000000000e+00j)  (1.348966247001123220e-01+1.006203758722992031e-01j)  (9.185441941074522221e-02+0.000000000000000000e+00j)  (8.953934830648714593e-02+-6.947432707455988669e-03j)
 (6.624600982666015625e+01+0.000000000000000000e+00j)  (6.056326305942950905e-02+2.017865343446954493e-02j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (3.519753703036320597e-02+2.960597042135580323e-02j)
 (5.606723785400390625e+01+0.000000000000000000e+00j)  (5.873754063110728230e-02+4.423530307224390629e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (8.336855326781076811e-03+-7.016319364798588067e-03j)
 (4.997550582885742188e+01+0.000000000000000000e+00j)  (5.841186398481762465e-02+3.915013518589129278e-03j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.016916659129955304e-02+-1.395751442632106772e-02j)
 (4.523893737792968750e+01+0.000000000000000000e+00j)  (5.998160777174314090e-02+1.073487948619533498e-02j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.422770712446544059e-02+-1.760003363852840133e-02j)
 (4.021337127685546875e+01+0.000000000000000000e+00j)  (5.772858293876396985e-02+2.605925533909630304e-02j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.864315778983395414e-02+-1.767179832969386494e-02j)
 (3.552965164184570312e+01+0.000000000000000000e+00j)  (2.901460446407961441e-02+3.533089870534455307e-02j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (3.713762703440692120e-02+8.347678359981481125e-03j)
 (3.178459358215332031e+01+0.000000000000000000e+00j)  (1.768591601705384042e-02+1.464915640831589323e-02j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.536899569912468858e-02+1.687583765324274232e-02j)
 (2.901060867309570312e+01+0.000000000000000000e+00j)  (2.087825639661416294e-02+6.322236874032763874e-03j)  (1.213171577123050258e-02+0.000000000000000000e+00j)  (5.468455788422681846e-03+1.064645847142188170e-02j)
 (2.691185188293457031e+01+0.000000000000000000e+00j)  (2.299847681970752095e-02+4.258520985564621247e-03j)  (1.299826689774696668e-02+0.000000000000000000e+00j)  (7.043958360369843462e-04+4.227562734464461285e-03j)
 (2.518244934082031250e+01+0.000000000000000000e+00j)  (2.361523320731836323e-02+4.216247468726995809e-03j)  (1.299826689774696668e-02+0.000000000000000000e+00j)  (5.900693957816766262e-03+-2.261520170970555358e-03j)
 (2.362677955627441406e+01+0.000000000000000000e+00j)  (2.308723375826674667e-02+4.914652813456759674e-03j)  (1.299826689774696668e-02+0.000000000000000000e+00j)  (8.374971383686433471e-03+-1.683370806771350469e-03j)
 (2.214870452880859375e+01+0.000000000000000000e+00j)  (2.155474845632325206e-02+5.664198082216373963e-03j)  (1.299826689774696668e-02+0.000000000000000000e+00j)  (9.810933881637944054e-03+-2.130777628909657790e-04j)
 (2.071578979492187500e+01+0.000000000000000000e+00j)  (1.925869225526607650e-02+5.791387856287502980e-03j)  (1.299826689774696668e-02+0.000000000000000000e+00j)  (1.032213586852204386e-02+1.949510877450150300e-03j)
 (1.933278846740722656e+01+0.000000000000000000e+00j)  (1.684968311946927894e-02+4.830204607712118743e-03j)  (1.299826689774696668e-02+0.000000000000000000e+00j)  (9.736114537075749031e-03+4.200362085721921768e-03j)
 (1.802261924743652344e+01+0.000000000000000000e+00j)  (1.509506865836236951e-02+2.967958374932009192e-03j)  (1.386481802426343078e-02+0.000000000000000000e+00j)  (8.385227139573663696e-03+5.789187444585308998e-03j)
 (1.681206512451171875e+01+0.000000000000000000e+00j)  (1.424228954191991345e-02+8.339020051881905612e-04j)  (1.386481802426343078e-02+0.000000000000000000e+00j)  (6.982906283482125456e-03+6.458802215896585798e-03j)
 (1.572214031219482422e+01+0.000000000000000000e+00j)  (1.402127430212473172e-02+-1.124742806886764408e-03j)  (1.386481802426343078e-02+0.000000000000000000e+00j)  (6.030690905371604085e-03+6.450698355806912081e-03j)
 (1.476385021209716797e+01+0.000000000000000000e+00j)  (1.406082880196266732e-02+-2.806185724731226089e-03j)  (1.386481802426343078e-02+0.000000000000000000e+00j)  (5.660776350672104378e-03+6.086182961914318908e-03j)
 (1.393848133087158203e+01+0.000000000000000000e+00j)  (1.409077420103793145e-02+-4.276299954685216197e-03j)  (1.473136915077989488e-02+0.000000000000000000e+00j)  (5.808468762151529179e-03+5.553225259253819976e-03j)
 (1.323997879028320312e+01+0.000000000000000000e+00j)  (1.393463590041202696e-02+-5.613842046375005362e-03j)  (1.473136915077989488e-02+0.000000000000000000e+00j)  (6.337505068616995987e-03+4.900347752283706892e-03j)
 (1.265803813934326172e+01+0.000000000000000000e+00j)  (1.346771166195083295e-02+-6.837500485837347611e-03j)  (1.473136915077989488e-02+0.000000000000000000e+00j)  (7.079753282617885952e-03+4.080775486451414767e-03j)
 (1.218036651611328125e+01+0.000000000000000000e+00j)  (1.261358345688783078e-02+-7.875988555514206249e-03j)  (1.473136915077989488e-02+0.000000000000000000e+00j)  (7.831134135270458041e-03+3.022353591535431941e-03j)
